bxM3Ready,cnl,createdAt,createdBy,deleted,domain,id,modifiedAt,modifiedBy,operation,patchId,patchTime,patchUser,processedAt
true,C32119002,2023-02-15T13:00:11.633Z,19711441,false,Style,28975059,2023-05-18T09:52:33.354Z,32525240,UPDATE,88098902,2023-05-18T18:32:55.487Z,32525240,2023-05-24T18:32:55.487Z
true,C31827328,2023-02-08T14:28:36.960Z,1712461,false,Style,28739263,2023-05-17T16:17:49.461Z,32525240,UPDATE,88098882,2023-05-18T18:32:55.487Z,32525240,2023-05-24T18:32:55.487Z
true,C33225891,2023-03-15T18:52:21.977Z,27672786,false,Style,30320272,2023-05-23T21:39:27.472Z,25637632,UPDATE,89679429,2023-05-23T21:39:44.866Z,25637632,2023-05-24T21:39:44.866Z
true,C31739006,2023-02-07T10:32:20.763Z,19711441,false,Style,28641283,2023-05-19T11:38:44.213Z,32525240,UPDATE,88201667,2023-05-19T11:38:49.851Z,32525240,2023-05-24T11:38:49.851Z
true,C31796071,2023-02-07T15:57:09.523Z,1712461,false,Style,28698756,2023-05-18T09:05:26.173Z,32525240,UPDATE,88097602,2023-05-18T18:18:16.017Z,32525240,2023-05-24T18:18:16.017Z
true,C31739011,2023-02-07T10:45:47.667Z,19711441,false,Style,28644828,2023-05-18T09:12:33.913Z,32525240,UPDATE,88097484,2023-05-18T18:18:16.017Z,32525240,2023-05-24T18:18:16.017Z
true,C30496938,2023-01-03T14:15:30.920Z,1712461,false,Style,27524245,2023-05-16T08:57:59.132Z,32525240,UPDATE,88100835,2023-05-18T18:42:54.648Z,32525240,2023-05-24T18:42:54.648Z
true,C32196503,2023-02-17T10:03:34.813Z,19711441,false,Style,29058681,2023-05-17T10:51:07.091Z,29750335,UPDATE,88098424,2023-05-18T18:24:42.452Z,29750335,2023-05-24T18:24:42.452Z
true,C31838495,2023-02-08T19:40:43.017Z,19711441,false,Style,28744912,2023-05-17T16:24:20.522Z,32525240,UPDATE,88100859,2023-05-18T18:42:54.648Z,32525240,2023-05-24T18:42:54.648Z
true,C31838496,2023-02-08T19:49:39.567Z,19711441,false,Style,28744943,2023-05-18T09:26:37.887Z,32525240,UPDATE,88102618,2023-05-18T18:53:45.891Z,32525240,2023-05-24T18:53:45.891Z
true,C31859143,2023-02-09T08:07:20.593Z,1712461,false,Style,28749215,2023-05-18T09:24:25.064Z,32525240,UPDATE,88100828,2023-05-18T18:42:54.648Z,32525240,2023-05-24T18:42:54.648Z
true,C29698257,2022-12-14T10:34:28.907Z,19711441,false,Style,26788299,2023-05-19T12:56:12.184Z,32525240,UPDATE,88225360,2023-05-19T12:56:15.808Z,32525240,2023-05-24T12:56:15.808Z
true,C35265637,2023-04-25T12:26:03.762Z,19711441,false,Style,32616471,2023-05-17T17:16:08.604Z,32525240,UPDATE,88265644,2023-05-19T14:54:58.248Z,32525240,2023-05-24T14:54:58.248Z
true,C25623740,2022-08-05T10:17:52.580Z,8869728,false,Style,23126844,2023-05-23T09:15:34.593Z,29750335,UPDATE,89511090,2023-05-23T15:13:49.837Z,29750335,2023-05-24T15:13:49.837Z
true,C32128319,2023-02-15T16:10:41.177Z,1712461,false,Style,28986984,2023-05-16T09:11:50.563Z,32525240,UPDATE,88030038,2023-05-18T17:25:02.677Z,32525240,2023-05-24T17:25:02.677Z
true,C32107837,2023-02-15T15:24:13.410Z,19711441,false,Style,28979973,2023-05-17T16:27:15.608Z,32525240,UPDATE,88102502,2023-05-18T18:53:45.891Z,32525240,2023-05-24T18:53:45.891Z
true,C32125353,2023-02-15T15:20:33.643Z,1712461,false,Style,28979918,2023-05-18T08:42:21.771Z,1712461,UPDATE,87832521,2023-05-18T09:32:14.628Z,1712461,2023-05-24T09:32:14.628Z
true,C31838499,2023-02-08T22:30:25.757Z,19711441,false,Style,28747657,2023-05-17T11:47:36.057Z,29750335,UPDATE,89200209,2023-05-22T17:47:59.642Z,29750335,2023-05-24T17:47:59.642Z
true,C31838497,2023-02-08T20:31:44.693Z,19711441,false,Style,28746135,2023-05-17T11:48:45.846Z,29750335,UPDATE,88098414,2023-05-18T18:24:42.452Z,29750335,2023-05-24T18:24:42.452Z
true,C31852964,2023-02-08T20:55:14.697Z,1712461,false,Style,28746564,2023-05-18T08:13:53.951Z,32525240,UPDATE,88100933,2023-05-18T18:42:54.648Z,32525240,2023-05-24T18:42:54.648Z
true,C31852949,2023-02-08T20:26:00.377Z,1712461,false,Style,28745997,2023-05-18T08:58:20.230Z,32525240,UPDATE,89332020,2023-05-23T09:28:47.763Z,32525240,2023-05-24T09:28:47.763Z
true,C31856334,2023-02-08T21:06:59.490Z,1712461,false,Style,28746730,2023-05-18T09:21:51.049Z,32525240,UPDATE,88098891,2023-05-18T18:32:55.487Z,32525240,2023-05-24T18:32:55.487Z
true,C31794529,2023-02-07T17:12:29.893Z,19711374,false,Style,28701364,2023-05-22T16:48:48.269Z,32525240,UPDATE,89161847,2023-05-22T16:57:27.832Z,32525240,2023-05-24T16:57:27.832Z
true,C32128313,2023-02-15T15:51:39.073Z,1712461,false,Style,28983787,2023-05-16T09:06:25.218Z,32525240,UPDATE,87531379,2023-05-17T10:43:10.526Z,32525240,2023-05-24T10:43:10.526Z
true,C32128316,2023-02-15T15:58:16.497Z,1712461,false,Style,28984956,2023-05-16T09:12:15.884Z,32525240,UPDATE,88166118,2023-05-19T10:27:13.766Z,32525240,2023-05-24T10:27:13.766Z
true,C29698238,2022-12-14T10:30:43.337Z,19711441,false,Style,26787900,2023-05-19T12:22:18.060Z,32525240,UPDATE,88214553,2023-05-19T12:22:19.411Z,32525240,2023-05-24T12:22:19.411Z
true,C31838493,2023-02-08T14:20:22.193Z,19711441,false,Style,28739176,2023-05-18T12:51:48.774Z,32525240,UPDATE,88098894,2023-05-18T18:32:55.487Z,32525240,2023-05-24T18:32:55.487Z
true,C31848078,2023-02-08T16:51:42.307Z,1712461,false,Style,28743260,2023-05-18T09:37:10.151Z,32525240,UPDATE,88098903,2023-05-18T18:32:55.487Z,32525240,2023-05-24T18:32:55.487Z
true,C31794516,2023-02-07T16:11:19.983Z,19711374,false,Style,28699685,2023-05-17T16:41:56.338Z,32525240,UPDATE,88377986,2023-05-20T09:00:49.711Z,32525240,2023-05-24T09:00:49.711Z
true,C32196506,2023-02-17T15:52:12.867Z,19711441,false,Style,29119525,2023-05-18T09:51:09.420Z,32525240,UPDATE,88098408,2023-05-18T18:24:42.452Z,32525240,2023-05-24T18:24:42.452Z
true,C31739016,2023-02-07T11:27:35.410Z,19711441,false,Style,28648269,2023-05-17T10:53:55.079Z,29750335,UPDATE,88093423,2023-05-18T18:09:18.261Z,29750335,2023-05-24T18:09:18.261Z
true,C31796078,2023-02-07T16:25:24.900Z,1712461,false,Style,28700634,2023-05-18T09:02:59.824Z,32525240,UPDATE,88093376,2023-05-18T18:09:18.261Z,32525240,2023-05-24T18:09:18.261Z
true,C31794520,2023-02-07T16:42:58.260Z,19711374,false,Style,28701076,2023-05-17T16:37:14.130Z,32525240,UPDATE,89127143,2023-05-22T15:10:46.045Z,32525240,2023-05-24T15:10:46.045Z
true,C31794527,2023-02-07T17:10:37.357Z,19711374,false,Style,28701349,2023-05-18T09:01:06.223Z,32525240,UPDATE,88095985,2023-05-18T18:13:51.550Z,32525240,2023-05-24T18:13:51.550Z
true,C31739012,2023-02-07T10:51:18.903Z,19711441,false,Style,28645199,2023-05-17T16:36:05.560Z,32525240,UPDATE,89422320,2023-05-23T12:18:49.697Z,32525240,2023-05-24T12:18:49.697Z
true,C31739013,2023-02-07T10:54:42.620Z,19711441,false,Style,28645365,2023-05-17T16:38:24.031Z,32525240,UPDATE,88076195,2023-05-18T17:51:01.950Z,32525240,2023-05-24T17:51:01.950Z
true,C31794522,2023-02-07T17:04:56.513Z,19711374,false,Style,28701285,2023-05-17T16:52:11.506Z,32525240,UPDATE,88097691,2023-05-18T18:18:16.017Z,32525240,2023-05-24T18:18:16.017Z
true,C33118078,2023-03-13T21:13:39.396Z,19711374,false,Style,30109989,2023-05-17T21:03:01.940Z,1712461,UPDATE,88346596,2023-05-19T17:45:17.602Z,1712461,2023-05-24T17:45:17.602Z
true,C32196502,2023-02-17T09:13:52.767Z,19711441,false,Style,29044401,2023-05-19T16:01:51.139Z,7060753,UPDATE,88299345,2023-05-19T16:12:52.635Z,7060753,2023-05-24T16:12:52.635Z
true,C32196508,2023-02-20T09:16:28.257Z,19711441,false,Style,29172027,2023-05-18T09:28:52.819Z,32525240,UPDATE,88270855,2023-05-19T15:04:06.652Z,32525240,2023-05-24T15:04:06.652Z
true,C31838494,2023-02-08T15:43:23.093Z,19711441,false,Style,28742253,2023-05-17T16:01:55.700Z,32525240,UPDATE,88098890,2023-05-18T18:32:55.487Z,32525240,2023-05-24T18:32:55.487Z
true,C31739005,2023-02-07T10:25:43.367Z,19711441,false,Style,28640839,2023-05-17T17:00:35.998Z,32525240,UPDATE,88097714,2023-05-18T18:18:16.017Z,32525240,2023-05-24T18:18:16.017Z
true,C31739009,2023-02-07T10:38:35.817Z,19711441,false,Style,28644576,2023-05-17T17:03:03.269Z,32525240,UPDATE,88096043,2023-05-18T18:13:51.550Z,32525240,2023-05-24T18:13:51.550Z
true,C32196507,2023-02-17T17:05:00.127Z,19711441,false,Style,29161982,2023-05-18T08:59:56.772Z,32525240,UPDATE,88102406,2023-05-18T18:53:45.891Z,32525240,2023-05-24T18:53:45.891Z
true,C31739008,2023-02-07T10:36:14.237Z,19711441,false,Style,28644509,2023-05-17T16:57:39.815Z,32525240,UPDATE,88093444,2023-05-18T18:09:18.261Z,32525240,2023-05-24T18:09:18.261Z
true,C31739010,2023-02-07T10:42:24.620Z,19711441,false,Style,28644813,2023-05-17T16:59:34.014Z,32525240,UPDATE,88075980,2023-05-18T17:51:01.950Z,32525240,2023-05-24T17:51:01.950Z
true,C31739007,2023-02-07T10:34:05.623Z,19711441,false,Style,28641290,2023-05-17T16:55:25.775Z,32525240,UPDATE,88093305,2023-05-18T18:09:15.941Z,32525240,2023-05-24T18:09:15.941Z
